"datasetName","decimalLongitude","decimalLatitude","basisOfRecord","scientificName"
"gbif",150.9362,-23.16943,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.946143,-23.191875,"HUMAN_OBSERVATION","Natator depressus"
"gbif",151.339274,-23.913525,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.76124,-23.0825,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.942009,-23.171243,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.824389,-23.277508,"HUMAN_OBSERVATION","Natator depressus"
"gbif",151.39187,-23.96043,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.813864,-23.287646,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.82684,-23.25486,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.94444,-23.17193,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.960834,-23.157096,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.936,-23.16927,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.944724,-23.172087,"HUMAN_OBSERVATION","Natator depressus"
"gbif",151.40263,-23.96499,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.966785,-23.156461,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.823898,-23.248873,"HUMAN_OBSERVATION","Natator depressus"
"gbif",151.337865,-23.911944,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.824469,-23.278417,"HUMAN_OBSERVATION","Natator depressus"
"gbif",151.376313,-23.947325,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.975,-23.171,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.948822,-23.172099,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.976,-23.173,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.75513,-23.09624,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.944093,-23.171898,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.937492,-23.169983,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.965004,-23.157129,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.818993,-23.229363,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.966601,-23.156979,"HUMAN_OBSERVATION","Natator depressus"
